females,country,age,males,year,total
384187,Afghanistan,18,407124,2017,791312
12253515,AFRICA,18,12599691,2017,24853148
24128,Albania,18,25266,2017,49397
283821,Algeria,18,295140,2017,578961
276880,Angola,18,276472,2017,553353
777,Antigua and Barbuda,18,803,2017,1580
764956,Arab Rep of Egypt,18,802948,2017,1567904
338282,Argentina,18,349238,2017,687522
15999,Armenia,18,16456,2017,32487
750,Aruba,18,756,2017,1504
32919696,ASIA,18,36009309,2017,68929229
145412,Australia,18,154696,2017,300109
175157,Australia/New Zealand,18,186032,2017,361190
44241,Austria,18,45685,2017,89926
61394,Azerbaijan,18,70542,2017,131942
2951,The Bahamas,18,3021,2017,5972
8032,Bahrain,18,10771,2017,18803
1577526,Bangladesh,18,1649741,2017,3227264
1785,Barbados,18,1840,2017,3625
39561,Belarus,18,42008,2017,81571
60456,Belgium,18,63391,2017,123847
3929,Belize,18,3913,2017,7842
119620,Benin,18,120436,2017,240057
7201,Bhutan,18,7382,2017,14584
107407,Bolivia,18,110526,2017,217933
21050,Bosnia and Herzegovina,18,22358,2017,43408
21844,Botswana,18,22162,2017,44006
1730597,Brazil,18,1789109,2017,3519716
3427,Brunei Darussalam,18,3726,2017,7153
29836,Bulgaria,18,31714,2017,61550
198484,Burkina Faso,18,205328,2017,403814
113451,Burundi,18,110244,2017,223695
253862,Cote-d-Ivoire,18,257961,2017,511824
5199,Cabo Verde,18,5335,2017,10533
150943,Cambodia,18,155189,2017,306129
253999,Cameroon,18,256529,2017,510528
203008,Canada,18,214576,2017,417586
351445,Caribbean,18,363661,2017,715106
54768,Central African Republic,18,53695,2017,108463
1641688,Central America,18,1688947,2017,3330636
533469,Central Asia,18,557081,2017,1090548
159979,Chad,18,161889,2017,321868
836,Channel Islands,18,919,2017,1755
128184,Chile,18,135297,2017,263482
6961327,China,18,7931914,2017,14893230
34022,Hong Kong SAR-China,18,36057,2017,70079
2835,Macao SAR China,18,3021,2017,5855
395457,Colombia,18,409656,2017,805115
8219,Comoros,18,8491,2017,16710
47619,Congo,18,47917,2017,95536
38460,Costa Rica,18,40136,2017,78596
23430,Croatia,18,24713,2017,48144
65474,Cuba,18,70512,2017,135986
993,Curacao,18,947,2017,1938
7468,Cyprus,18,7875,2017,15343
42082,Czech Republic,18,44394,2017,86477
188352,Dem Peoples Rep of Korea,18,197663,2017,386015
840965,Dem Rep of Congo,18,845976,2017,1686941
34730,Denmark,18,36555,2017,71285
8600,Djibouti,18,8817,2017,17417
95905,Dominican Republic,18,97641,2017,193547
4416887,Eastern Africa,18,4449779,2017,8866669
8235727,Eastern Asia,18,9283824,2017,17519560
1279622,Eastern Europe,18,1344642,2017,2624253
147677,Ecuador,18,152733,2017,300410
62348,El Salvador,18,62353,2017,124703
8528,Equatorial Guinea,18,8648,2017,17177
52581,Eritrea,18,54298,2017,106879
5079,Estonia,18,5306,2017,10385
1195007,Ethiopia,18,1215368,2017,2410375
3594232,EUROPE,18,3775459,2017,7369732
1234,Federated States of Micronesia,18,1307,2017,2541
7236,Fiji,18,7737,2017,14973
29156,Finland,18,30446,2017,59603
377802,France,18,396318,2017,774134
2501,French Guiana,18,2596,2017,5097
2252,French Polynesia,18,2354,2017,4606
13000,FYR Macedonia,18,13600,2017,26600
17705,Gabon,18,17995,2017,35700
21926,The Gambia,18,21922,2017,43848
21702,Georgia,18,23784,2017,45484
